,pitcher,batter,ballCount,type,speed,stance,crossPlateX,crossPlateY,topSz,bottomSz,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,strike,ball,out,base1,base2,base3,target,event_order,totalBallCount
0,52528,52605,1,투심,142.0,R,-0.078109,0.7083,3.35,1.643,-129.262,-4.05845,-6.55853,5.62376,50.0,1.48108,13.2441,24.7092,-21.2339,0,0,0,0,0,0,1H,1,1
1,52528,52667,1,투심,142.0,R,0.538374,0.7083,3.306,1.621,-129.119,-3.04773,-5.06841,5.59869,50.0,1.63494,11.63,28.0619,-21.9436,0,0,0,1,0,0,T,2,2
2,52528,52667,2,체인지업,130.0,R,1.24071,0.7083,3.306,1.621,-118.682,-1.86738,-4.40125,5.52174,50.0,1.76461,14.6725,26.0733,-25.0128,1,0,0,1,0,0,S,3,3
3,52528,52667,3,체인지업,132.0,R,0.105212,0.7083,3.306,1.621,-119.699,-3.63848,-6.88563,5.4561,50.0,1.64999,15.3161,23.2835,-25.6861,2,0,0,1,0,0,B,4,4
4,52528,52667,4,체인지업,129.0,R,0.227236,0.7083,3.306,1.621,-117.258,-3.92336,-6.09011,5.34614,50.0,1.54493,14.0667,26.6,-29.0134,2,1,0,1,0,0,S,5,5
5,52528,64646,1,투심,143.0,R,0.678116,0.7083,3.294,1.616,-129.927,-3.175,-4.90451,5.50275,50.0,1.48395,14.4885,28.1455,-24.6173,0,0,1,1,0,0,F,6,6
6,52528,64646,2,투심,143.0,R,1.90432,0.7083,3.294,1.616,-130.368,-2.54712,-2.38568,5.55543,50.0,1.68025,14.9435,28.5214,-21.2674,1,0,1,1,0,0,B,7,7
7,52528,64646,3,체인지업,129.0,R,0.211695,0.7083,3.294,1.616,-117.737,-1.95537,-5.80462,5.43921,50.0,1.49844,13.0913,24.9924,-25.1052,1,1,1,1,0,0,F,8,8
8,52528,64646,4,슬라이더,134.0,R,-0.086543,0.7083,3.294,1.616,-121.741,-3.09819,-2.91489,5.82117,50.0,1.49143,-3.82184,25.4803,-29.816,2,1,1,1,0,0,HO,9,9
9,52528,63260,1,투심,144.0,R,1.29299,0.7083,3.407,1.671,-131.004,-3.60921,-3.98128,5.55829,50.0,1.70153,14.9429,30.1433,-19.5171,0,0,2,1,0,0,B,10,10
10,52528,63260,2,투심,144.0,R,0.589173,0.7083,3.407,1.671,-130.784,-2.79606,-4.30033,5.45979,50.0,1.45525,10.6721,30.3392,-23.0082,0,1,2,1,0,0,F,11,11
11,52528,63260,3,직구,145.0,R,0.314274,0.7083,3.407,1.671,-132.027,-2.0684,-5.26135,5.6869,50.0,1.4356,12.2471,31.518,-18.6821,1,1,2,1,0,0,F,12,12
12,52528,63260,4,슬라이더,135.0,R,-0.77816,0.7083,3.407,1.671,-122.612,-4.19891,-4.2705,5.72843,50.0,1.40975,-4.31749,27.789,-29.7048,2,1,2,1,0,0,B,13,13
13,52528,63260,5,슬라이더,134.0,R,0.47955,0.7083,3.407,1.671,-121.852,-2.55222,-1.92864,5.68541,50.0,1.64844,-4.13107,19.446,-28.6687,2,2,2,1,0,0,T,14,14
14,53613,50500,1,직구,136.0,L,-0.544904,0.7083,3.241,1.59,-123.648,-5.33383,-7.48448,6.10368,50.0,1.77698,9.21154,26.7273,-14.5736,0,0,0,0,0,0,T,15,1
15,53613,50500,2,슬라이더,121.0,L,-0.778987,0.7083,3.241,1.59,-110.311,-4.08131,-4.94556,6.27254,50.0,2.20967,-6.09355,22.1109,-28.7192,1,0,0,0,0,0,HO,16,2
16,53613,54529,1,직구,136.0,R,0.704611,0.7083,3.636,1.784,-123.9,-5.82859,-4.92893,6.07269,50.0,2.00137,8.70825,25.8472,-17.2646,0,0,1,0,0,0,T,17,3
17,53613,54529,2,커브,115.0,R,0.49415,0.7083,3.636,1.784,-104.949,-0.195954,-1.70852,6.28329,50.0,2.06339,-6.10826,17.5582,-41.9898,1,0,1,0,0,0,B,18,4
